 ,Area,Mean,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1.044E-4,74.893,29,121,0.068,0.006,0.100,0.059,1.011E-4,0.017,0.015,0.013,0.010,41.418,0.130,0.017,0.008,73,0.054,-1.184,100,3056311.000,0.059,0.008,15.852,0.014,1.206,0.829,0.694
2,3.085E-5,99.492,52,121,0.167,0.010,0.080,0.162,0.004,0.009,0.011,0.011,0.004,56.764,0.061,0.013,0.003,102,-0.399,-0.928,100,1200178.000,0.164,0.015,56.499,0.005,3.051,0.328,0.599
3,1.035E-4,76.641,4,121,0.192,0.014,0.129,0.185,0.007,0.021,0.013,0.015,0.009,178.520,0.078,0.021,0.008,73,-0.157,-1.359,100,3101417.000,0.185,0.014,179.591,0.013,1.768,0.566,0.580
4,2.450E-5,88.281,29,121,0.171,0.021,0.061,0.167,0.017,0.008,0.008,0.006,0.005,72.294,0.083,0.009,0.002,102,-0.528,-0.904,100,845905.000,0.168,0.023,34.884,0.007,1.170,0.855,0.559
5,6.939E-5,80.114,29,121,0.171,0.038,0.078,0.162,0.035,0.020,0.007,0.021,0.004,170.807,0.142,0.020,0.006,73,-0.245,-0.741,100,2174065.000,0.162,0.037,171.448,0.006,4.819,0.208,0.733
6,3.718E-5,103.936,29,121,0.157,0.040,0.113,0.149,0.036,0.014,0.010,0.009,0.005,148.372,0.037,0.014,0.004,102,-1.313,1.295,100,1511017.000,0.149,0.041,170.885,0.008,1.566,0.639,0.503
7,4.456E-5,97.464,29,121,0.130,0.050,0.078,0.125,0.043,0.009,0.015,0.013,0.004,58.430,0.091,0.015,0.004,102,-0.668,-0.269,100,1698302.000,0.127,0.058,72.104,0.006,3.032,0.330,0.591
8,1.133E-4,77.314,29,121,0.056,0.056,0.127,0.049,0.049,0.014,0.015,0.012,0.012,132.522,0.089,0.016,0.009,73,-0.110,-1.270,100,3426711.000,0.052,0.050,113.245,0.014,1.020,0.981,0.721
9,2.978E-5,101.791,52,121,0.147,0.056,0.063,0.142,0.051,0.010,0.009,0.009,0.004,137.649,0.095,0.011,0.003,102,-0.560,-0.896,100,1185556.000,0.142,0.056,157.443,0.006,2.205,0.454,0.635
10,4.753E-5,93.099,29,121,0.163,0.062,0.081,0.158,0.056,0.008,0.012,0.010,0.006,80.722,0.090,0.013,0.004,94,-0.217,-1.097,100,1730515.000,0.162,0.069,81.870,0.008,1.625,0.615,0.677
11,7.777E-5,106.649,52,121,0.127,0.068,0.136,0.110,0.057,0.034,0.014,0.021,0.005,170.528,0.053,0.036,0.008,102,-0.813,0.538,100,3243410.000,0.110,0.057,159.106,0.011,4.597,0.218,0.295
12,4.799E-4,70.899,4,121,0.101,0.082,0.402,0.083,0.068,0.037,0.032,0.029,0.021,166.077,0.037,0.037,0.034,73,0.122,-1.290,100,13305836.000,0.083,0.082,172.101,0.027,1.370,0.730,0.609
13,2.927E-5,107.044,52,121,0.075,0.073,0.070,0.070,0.069,0.008,0.008,0.007,0.005,152.645,0.074,0.010,0.003,102,-0.841,0.067,100,1225434.000,0.071,0.069,121.942,0.006,1.405,0.712,0.620
14,5.602E-5,79.611,29,121,0.124,0.080,0.078,0.118,0.074,0.010,0.013,0.010,0.007,87.649,0.117,0.014,0.004,73,-0.048,-1.083,100,1744196.000,0.119,0.087,68.199,0.010,1.436,0.696,0.571
15,5.451E-4,97.892,29,121,0.148,0.113,0.467,0.137,0.084,0.024,0.060,0.059,0.012,105.464,0.031,0.061,0.053,102,-0.558,-0.561,100,20868418.000,0.145,0.084,100.318,0.017,4.979,0.201,0.642
16,4.732E-5,95.726,29,121,0.123,0.093,0.077,0.118,0.087,0.010,0.012,0.009,0.007,71.377,0.100,0.013,0.005,102,-0.960,0.106,100,1771309.000,0.118,0.096,43.047,0.009,1.406,0.711,0.594
17,4.878E-5,85.840,29,121,0.114,0.105,0.068,0.107,0.100,0.012,0.009,0.011,0.006,147.795,0.132,0.013,0.004,73,0.098,-1.144,100,1637318.000,0.107,0.103,162.196,0.007,1.853,0.540,0.744
