 ,Area,Mean,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,2.491E-5,183.763,159.333,194,0.600,0.015,0.031,0.596,0.012,0.009,0.007,0.009,0.004,148.408,0.331,0.009,0.005,185.333,-0.749,-0.227,100,172737.000,0.597,0.012,152.987,0.005,2.362,0.423,0.747
2,3.803E-5,170.530,137.667,194,0.624,0.019,0.029,0.620,0.015,0.008,0.006,0.008,0.006,174.244,0.570,0.008,0.006,172.667,-0.243,-1.227,100,244710.000,0.620,0.017,163.301,0.006,1.331,0.751,0.904
3,6.641E-5,171.753,126.333,194,0.570,0.025,0.042,0.566,0.019,0.008,0.013,0.012,0.007,100.162,0.463,0.013,0.011,174.333,-0.452,-0.921,100,430412.667,0.568,0.019,97.829,0.007,1.832,0.546,0.867
4,1.242E-4,167.689,123.000,194,0.273,0.029,0.061,0.266,0.021,0.014,0.017,0.017,0.009,55.799,0.415,0.017,0.021,168.333,-0.234,-0.800,100,785960.334,0.269,0.038,65.821,0.010,1.860,0.538,0.863
5,2.700E-5,181.431,157.333,194,0.082,0.027,0.033,0.079,0.021,0.005,0.010,0.010,0.003,82.809,0.319,0.011,0.005,183.333,-0.524,-0.739,100,184878.334,0.081,0.032,80.248,0.005,2.836,0.353,0.699
6,5.960E-5,172.430,134.000,194,0.154,0.027,0.049,0.148,0.023,0.013,0.009,0.013,0.006,161.529,0.318,0.015,0.010,173.000,-0.355,-0.743,100,387796.000,0.148,0.023,150.884,0.008,2.198,0.455,0.706
7,3.061E-5,169.067,134.000,194,0.646,0.035,0.024,0.642,0.032,0.007,0.006,0.007,0.006,173.674,0.649,0.008,0.005,170.333,-0.168,-1.237,100,195272.000,0.642,0.034,163.072,0.006,1.278,0.782,0.899
8,4.115E-5,153.097,114.333,194,0.234,0.043,0.028,0.230,0.039,0.008,0.009,0.007,0.007,73.980,0.656,0.009,0.006,150.000,0.290,-1.113,100,237759.667,0.233,0.039,100.491,0.008,1.039,0.963,0.701
9,2.308E-5,177.030,151.333,194,0.115,0.045,0.023,0.111,0.042,0.007,0.006,0.006,0.005,26.918,0.545,0.008,0.004,176.667,-0.152,-1.121,100,154193.000,0.111,0.047,23.356,0.005,1.305,0.766,0.827
10,2.684E-5,179.557,159.667,194,0.077,0.055,0.025,0.074,0.051,0.006,0.007,0.007,0.005,106.882,0.538,0.008,0.005,180.000,-0.190,-1.046,100,181891.667,0.075,0.051,116.565,0.005,1.560,0.641,0.856
11,1.142E-4,168.310,121.000,194,0.119,0.070,0.065,0.109,0.065,0.018,0.013,0.014,0.011,7.758,0.342,0.018,0.019,169.000,-0.334,-0.911,100,725078.000,0.109,0.069,4.764,0.013,1.277,0.783,0.805
12,7.107E-5,174.669,136.667,194,0.446,0.077,0.052,0.440,0.072,0.012,0.011,0.010,0.009,10.171,0.331,0.013,0.012,177.333,-0.511,-0.784,100,468461.667,0.444,0.084,61.449,0.011,1.094,0.914,0.748
13,0.082,164.418,80.667,194,0.298,0.253,5.091,0.099,0.073,0.379,0.360,0.332,0.312,24.372,0.040,0.381,13.401,163.667,-0.233,0.874,100,505724397.037,0.099,0.263,174.133,0.332,1.064,0.940,0.822
14,3.784E-5,167.061,137.000,194,0.261,0.081,0.034,0.258,0.077,0.007,0.009,0.008,0.006,107.761,0.416,0.009,0.006,164.000,0.264,-1.276,100,238563.000,0.260,0.077,105.255,0.007,1.354,0.738,0.820
15,3.797E-5,169.456,138.333,194,0.454,0.090,0.037,0.450,0.086,0.008,0.009,0.008,0.006,100.411,0.350,0.010,0.006,168.000,0.054,-1.283,100,242830.333,0.451,0.086,124.461,0.008,1.242,0.805,0.714
16,2.244E-5,170.492,133.667,194,0.335,0.099,0.024,0.331,0.097,0.008,0.005,0.007,0.004,12.591,0.484,0.008,0.004,172.000,-0.291,-1.021,100,144406.333,0.331,0.101,12.407,0.005,1.916,0.522,0.801
17,1.481E-4,170.737,119.000,194,0.417,0.103,0.088,0.408,0.097,0.017,0.014,0.017,0.011,155.200,0.241,0.019,0.025,174.667,-0.562,-0.711,100,954418.334,0.408,0.101,156.997,0.012,1.607,0.622,0.825
18,2.719E-5,186.527,166.333,194,0.403,0.109,0.043,0.399,0.105,0.007,0.009,0.008,0.004,124.582,0.186,0.010,0.005,188.667,-0.872,-0.336,100,191377.000,0.399,0.106,122.196,0.006,1.921,0.520,0.694
19,1.826E-4,157.593,81.000,194,0.473,0.118,0.086,0.463,0.107,0.020,0.019,0.018,0.013,145.079,0.307,0.023,0.029,157.000,-0.061,-1.146,100,1085976.334,0.466,0.111,137.921,0.017,1.368,0.731,0.723
20,7.417E-5,158.418,113.667,194,0.085,0.128,0.040,0.080,0.122,0.009,0.012,0.011,0.008,108.520,0.583,0.012,0.012,159.667,-0.166,-0.927,100,443411.667,0.081,0.124,126.870,0.009,1.390,0.720,0.868
21,5.705E-5,172.051,142.000,194,0.044,0.129,0.038,0.039,0.125,0.010,0.009,0.009,0.008,39.113,0.498,0.010,0.010,171.000,0.174,-1.098,100,370425.667,0.040,0.132,21.975,0.008,1.234,0.810,0.889
22,4.526E-5,180.175,153.333,194,0.016,0.150,0.042,0.013,0.143,0.008,0.012,0.013,0.005,119.946,0.324,0.014,0.008,181.667,-0.489,-0.755,100,307739.667,0.014,0.143,118.393,0.006,2.752,0.363,0.755
23,1.191E-4,177.344,148.667,194,0.103,0.152,0.071,0.094,0.146,0.018,0.013,0.016,0.009,156.901,0.299,0.019,0.021,177.333,-0.178,-0.910,100,796806.334,0.094,0.149,160.780,0.011,1.783,0.561,0.772
24,6.588E-5,171.149,134.333,194,0.547,0.159,0.050,0.540,0.155,0.015,0.008,0.015,0.006,11.168,0.336,0.015,0.011,171.000,-0.215,-0.982,100,425475.333,0.540,0.161,3.814,0.007,2.607,0.384,0.833
25,1.580E-4,146.132,91.000,194,0.514,0.171,0.076,0.507,0.160,0.015,0.020,0.021,0.010,61.824,0.342,0.022,0.023,149.333,-0.072,-1.330,100,871240.000,0.507,0.178,52.199,0.012,2.125,0.471,0.716
26,1.169E-4,165.007,111.667,194,0.031,0.182,0.097,0.021,0.171,0.023,0.025,0.023,0.007,43.023,0.155,0.031,0.019,167.000,-0.386,-0.688,100,727678.667,0.025,0.195,52.765,0.011,3.442,0.290,0.488
27,2.586E-5,169.774,144.000,194,0.009,0.184,0.022,0.007,0.181,0.006,0.007,0.007,0.005,115.614,0.655,0.007,0.004,168.000,0.292,-1.092,100,165699.333,0.009,0.181,114.864,0.005,1.503,0.666,0.888
28,5.668E-5,173.035,147.667,194,0.100,0.189,0.038,0.094,0.185,0.011,0.008,0.010,0.007,162.246,0.487,0.011,0.010,172.000,0.050,-1.138,100,370121.333,0.094,0.188,163.142,0.007,1.488,0.672,0.898
29,8.708E-5,173.046,135.333,194,0.011,0.208,0.061,0.006,0.202,0.010,0.017,0.014,0.008,88.027,0.295,0.017,0.015,174.000,-0.214,-1.166,100,568629.667,0.010,0.219,75.174,0.010,1.662,0.602,0.756
30,2.109E-5,183.541,164.667,194,0.116,0.209,0.025,0.113,0.206,0.005,0.006,0.006,0.005,87.331,0.418,0.006,0.004,183.667,-0.316,-0.760,100,146098.667,0.115,0.206,100.713,0.005,1.180,0.847,0.853
31,4.550E-5,164.034,127.333,194,0.027,0.230,0.031,0.021,0.227,0.012,0.007,0.012,0.005,16.188,0.586,0.012,0.007,162.000,0.133,-0.939,100,281647.000,0.021,0.231,13.465,0.005,2.428,0.412,0.879
32,7.298E-4,149.461,66.333,194,0.049,0.257,0.272,0.029,0.231,0.034,0.054,0.041,0.023,97.888,0.124,0.055,0.109,158.333,-0.581,-0.794,100,4116146.666,0.052,0.285,81.151,0.033,1.831,0.546,0.634
33,4.412E-5,164.519,116.333,194,0.024,0.240,0.030,0.019,0.236,0.009,0.007,0.009,0.006,3.673,0.607,0.010,0.007,163.667,-0.119,-1.012,100,273924.667,0.019,0.241,7.853,0.007,1.334,0.750,0.901
34,6.180E-5,155.210,98.000,194,0.022,0.251,0.041,0.017,0.246,0.010,0.010,0.009,0.008,147.492,0.458,0.012,0.010,157.500,-0.203,-1.129,100,361950.333,0.017,0.246,136.701,0.009,1.143,0.875,0.840
35,2.026E-4,147.381,98.667,194,0.519,0.258,0.093,0.508,0.248,0.019,0.019,0.018,0.015,53.093,0.296,0.020,0.030,146.667,0.141,-1.054,100,1126576.667,0.514,0.267,63.435,0.018,1.201,0.832,0.751
36,4.306E-5,176.142,143.333,194,0.028,0.273,0.043,0.022,0.268,0.010,0.009,0.008,0.007,16.523,0.287,0.011,0.008,176.667,-0.339,-0.706,100,286230.333,0.023,0.277,46.169,0.009,1.086,0.921,0.650
37,3.336E-5,180.855,157.000,194,0.486,0.283,0.043,0.480,0.281,0.013,0.006,0.011,0.004,8.585,0.229,0.013,0.006,181.667,-0.319,-0.822,100,227696.333,0.480,0.284,8.746,0.005,2.811,0.356,0.710
38,7.942E-5,176.738,147.667,194,0.018,0.291,0.066,0.011,0.284,0.016,0.013,0.015,0.007,129.867,0.227,0.019,0.014,177.667,-0.412,-0.531,100,529683.333,0.011,0.285,146.725,0.010,2.225,0.449,0.622
39,3.662E-5,175.118,149.333,194,0.043,0.295,0.029,0.039,0.292,0.008,0.007,0.008,0.006,11.242,0.566,0.008,0.006,174.667,-0.045,-1.187,100,242012.666,0.040,0.297,30.174,0.006,1.250,0.800,0.878
40,4.673E-4,174.980,125.000,194,0.494,0.310,0.233,0.477,0.294,0.035,0.030,0.036,0.016,30.776,0.108,0.041,0.082,177.333,-0.645,-0.369,100,3085599.668,0.480,0.322,41.970,0.023,2.194,0.456,0.685
41,4.280E-5,154.731,111.333,194,0.527,0.300,0.027,0.523,0.296,0.008,0.008,0.008,0.007,153.803,0.729,0.009,0.007,154.000,0.013,-1.209,100,249891.000,0.523,0.300,161.565,0.007,1.134,0.882,0.919
42,3.312E-5,187.066,169.000,194,0.053,0.339,0.064,0.049,0.333,0.008,0.012,0.012,0.004,119.618,0.101,0.013,0.006,188.333,-0.913,0.321,100,233833.000,0.050,0.334,116.565,0.005,3.262,0.307,0.589
43,7.271E-5,147.859,105.333,194,0.472,0.351,0.039,0.467,0.345,0.011,0.011,0.011,0.009,58.283,0.612,0.011,0.011,145.667,0.232,-1.110,100,405725.667,0.468,0.356,80.134,0.010,1.195,0.837,0.899
44,2.894E-5,175.610,144.667,194,0.626,0.350,0.027,0.622,0.347,0.008,0.007,0.007,0.005,28.714,0.500,0.009,0.005,177.667,-0.494,-0.776,100,191766.000,0.622,0.352,29.476,0.006,1.381,0.724,0.836
45,4.380E-5,178.810,145.667,194,0.445,0.382,0.060,0.439,0.378,0.013,0.008,0.012,0.005,166.153,0.152,0.013,0.008,184.000,-0.505,-1.160,100,295573.000,0.439,0.380,169.824,0.007,2.406,0.416,0.623
46,1.322E-4,160.430,99.000,194,0.050,0.395,0.074,0.044,0.387,0.012,0.016,0.015,0.011,72.901,0.300,0.017,0.021,163.000,-0.427,-0.683,100,800227.000,0.046,0.403,52.125,0.012,1.420,0.704,0.836
47,2.846E-5,168.177,113.000,194,0.623,0.400,0.026,0.619,0.397,0.007,0.007,0.007,0.005,46.927,0.514,0.008,0.005,175.667,-0.740,-0.670,100,180622.333,0.619,0.402,22.249,0.006,1.235,0.810,0.841
48,1.697E-4,157.416,81.667,194,0.030,0.413,0.072,0.023,0.405,0.016,0.016,0.017,0.012,36.318,0.407,0.019,0.027,161.333,-0.432,-0.823,100,1008249.000,0.023,0.420,48.532,0.014,1.393,0.718,0.871
