 ,Area,Mean,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1.197E-4,162.858,84,205,0.435,0.011,0.075,0.429,0.002,0.011,0.017,0.015,0.010,77.756,0.267,0.017,0.019,170,-0.373,-1.017,100,1375663.000,0.433,0.019,80.083,0.011,1.562,0.640,0.862
2,3.211E-5,158.831,65,205,0.036,0.007,0.033,0.033,0.003,0.006,0.010,0.009,0.005,88.384,0.365,0.010,0.005,164,-0.404,-1.025,100,360069.000,0.035,0.012,84.495,0.006,1.787,0.560,0.802
3,9.893E-5,144.324,56,205,0.385,0.009,0.052,0.379,0.003,0.013,0.011,0.012,0.010,173.591,0.466,0.013,0.014,145,-0.081,-1.104,100,1007962.000,0.379,0.009,4.198,0.011,1.200,0.834,0.929
4,3.925E-5,166.813,109,205,0.233,0.010,0.033,0.228,0.006,0.009,0.007,0.008,0.006,3.185,0.445,0.009,0.007,170,-0.030,-1.214,100,462238.000,0.228,0.010,174.806,0.007,1.397,0.716,0.896
5,2.065E-5,172.161,124,205,0.083,0.013,0.025,0.081,0.009,0.004,0.007,0.006,0.004,84.252,0.405,0.007,0.004,176,-0.199,-1.025,100,251011.000,0.081,0.015,56.056,0.004,1.570,0.637,0.808
6,4.180E-5,156.508,65,205,0.023,0.017,0.033,0.020,0.012,0.007,0.010,0.011,0.005,110.980,0.470,0.011,0.007,152,-0.166,-0.853,100,461855.000,0.020,0.013,124.939,0.006,2.153,0.465,0.811
7,4.812E-5,179.750,138,205,0.249,0.019,0.048,0.246,0.013,0.007,0.012,0.010,0.006,84.867,0.259,0.012,0.009,181,-0.244,-1.179,100,610610.000,0.248,0.013,99.090,0.007,1.655,0.604,0.838
8,3.315E-4,146.404,35,205,0.238,0.032,0.202,0.224,0.013,0.024,0.040,0.031,0.013,72.104,0.102,0.043,0.049,152,-0.407,-1.108,100,3426304.000,0.225,0.052,66.989,0.019,2.341,0.427,0.631
9,3.871E-5,192.480,152,205,0.401,0.019,0.050,0.395,0.015,0.012,0.007,0.010,0.005,161.409,0.196,0.012,0.007,196,-0.720,-0.685,100,526048.000,0.395,0.017,168.690,0.006,2.112,0.474,0.733
10,4.901E-5,160.404,84,205,0.087,0.026,0.044,0.082,0.022,0.010,0.008,0.010,0.006,161.902,0.319,0.011,0.008,164,-0.358,-1.122,100,554998.000,0.082,0.024,162.181,0.008,1.595,0.627,0.790
11,2.817E-5,171.521,101,205,0.062,0.026,0.034,0.058,0.023,0.008,0.007,0.007,0.005,153.776,0.310,0.010,0.005,176,-0.577,-0.779,100,341155.000,0.058,0.023,146.113,0.007,1.197,0.836,0.698
12,2.040E-5,198.335,176,205,0.439,0.031,0.033,0.436,0.028,0.006,0.006,0.006,0.005,78.028,0.240,0.007,0.004,200,-1.098,0.561,100,285603.000,0.438,0.028,100.491,0.005,1.211,0.826,0.799
13,2.951E-5,177.242,131,205,0.361,0.036,0.033,0.358,0.033,0.007,0.007,0.007,0.005,122.721,0.338,0.009,0.005,176,-0.165,-1.243,100,369195.000,0.360,0.033,123.476,0.006,1.385,0.722,0.842
14,3.901E-5,151.865,65,205,0.094,0.036,0.037,0.089,0.034,0.010,0.006,0.010,0.005,169.008,0.368,0.011,0.006,152,-0.235,-1.080,100,418236.000,0.089,0.034,154.867,0.006,1.915,0.522,0.807
15,2.724E-5,177.343,131,205,0.345,0.037,0.028,0.340,0.034,0.008,0.006,0.007,0.005,179.308,0.447,0.008,0.005,176,-0.227,-1.203,100,341031.000,0.340,0.037,169.695,0.006,1.448,0.691,0.880
16,7.678E-5,166.101,84,205,0.080,0.041,0.065,0.075,0.034,0.012,0.013,0.013,0.008,54.464,0.227,0.017,0.013,176,-0.509,-0.982,100,900270.000,0.075,0.047,44.709,0.009,1.641,0.609,0.717
17,3.010E-5,151.117,84,205,0.011,0.040,0.027,0.007,0.036,0.007,0.008,0.008,0.005,56.506,0.538,0.009,0.005,152,0.139,-1.375,100,321123.000,0.008,0.042,44.444,0.005,1.628,0.614,0.859
18,5.095E-5,178.372,131,205,0.422,0.040,0.056,0.414,0.036,0.013,0.007,0.011,0.006,15.722,0.207,0.013,0.009,176,-0.317,-1.074,100,641605.000,0.414,0.042,12.308,0.007,1.989,0.503,0.804
19,2.529E-5,167.022,101,205,0.050,0.042,0.033,0.046,0.037,0.007,0.008,0.008,0.004,128.963,0.298,0.009,0.004,170,-0.417,-0.943,100,298135.000,0.046,0.039,137.726,0.005,1.914,0.523,0.747
20,6.597E-5,158.205,101,205,0.338,0.046,0.044,0.333,0.041,0.011,0.010,0.013,0.007,144.441,0.426,0.014,0.010,152,0.148,-1.137,100,736763.000,0.333,0.041,139.185,0.007,1.976,0.506,0.890
21,2.879E-4,113.393,35,205,0.359,0.050,0.087,0.345,0.041,0.027,0.017,0.026,0.014,6.085,0.473,0.027,0.033,109,0.593,-0.757,100,2304707.000,0.345,0.051,3.814,0.015,1.872,0.534,0.902
22,3.054E-5,198.703,170,205,0.435,0.046,0.055,0.431,0.043,0.011,0.005,0.010,0.004,173.378,0.126,0.011,0.006,200,-1.352,1.128,100,428403.000,0.431,0.045,170.538,0.005,2.678,0.373,0.704
23,3.983E-5,149.007,65,205,0.109,0.048,0.029,0.105,0.044,0.008,0.007,0.008,0.006,21.829,0.597,0.009,0.006,152,-0.154,-1.192,100,419008.000,0.106,0.051,46.081,0.007,1.355,0.738,0.888
24,4.210E-5,133.884,65,205,0.197,0.049,0.032,0.192,0.045,0.009,0.007,0.008,0.007,14.594,0.504,0.010,0.006,131,0.310,-1.062,100,397903.000,0.192,0.049,16.631,0.007,1.222,0.818,0.863
25,1.222E-4,148.161,56,205,0.105,0.066,0.076,0.100,0.056,0.011,0.020,0.018,0.009,88.941,0.263,0.020,0.018,152,-0.176,-0.888,100,1278628.000,0.103,0.076,76.855,0.010,2.002,0.499,0.770
26,2.752E-5,167.798,109,205,0.218,0.060,0.030,0.214,0.057,0.007,0.008,0.007,0.005,39.620,0.389,0.009,0.005,170,-0.089,-1.202,100,326032.000,0.216,0.064,58.079,0.006,1.372,0.729,0.765
27,1.303E-4,183.369,109,205,0.295,0.064,0.151,0.281,0.059,0.031,0.018,0.022,0.008,164.871,0.072,0.031,0.024,191,-1.225,1.218,100,1686077.000,0.281,0.061,173.010,0.014,2.856,0.350,0.385
28,9.138E-5,156.148,65,205,0.051,0.072,0.064,0.046,0.062,0.010,0.019,0.015,0.008,77.003,0.283,0.019,0.014,170,-0.446,-1.021,100,1007313.000,0.054,0.081,85.764,0.009,2.011,0.497,0.703
29,3.928E-5,192.818,164,205,0.473,0.086,0.046,0.469,0.082,0.008,0.008,0.007,0.007,126.899,0.238,0.008,0.008,196,-0.449,-1.248,100,534684.000,0.471,0.082,115.067,0.008,1.042,0.960,0.845
30,3.275E-5,154.950,101,205,0.224,0.088,0.029,0.221,0.084,0.006,0.008,0.008,0.005,115.720,0.485,0.008,0.005,152,0.082,-1.037,100,358245.000,0.222,0.084,104.036,0.006,1.467,0.682,0.868
31,6.993E-5,172.390,84,205,0.307,0.099,0.088,0.301,0.085,0.011,0.022,0.013,0.007,83.418,0.114,0.023,0.012,181,-0.792,-0.747,100,851088.000,0.307,0.085,100.840,0.010,1.763,0.567,0.466
32,1.860E-4,116.718,35,205,0.326,0.094,0.075,0.317,0.086,0.016,0.017,0.018,0.013,53.775,0.411,0.020,0.022,109,0.418,-0.989,100,1532623.000,0.319,0.102,44.021,0.014,1.423,0.703,0.903
33,2.902E-5,175.225,131,205,0.008,0.092,0.027,0.005,0.088,0.006,0.008,0.008,0.005,70.207,0.491,0.009,0.005,176,-0.021,-1.262,100,359037.000,0.005,0.095,56.976,0.006,1.640,0.610,0.875
34,2.269E-5,168.027,109,205,0.024,0.105,0.020,0.021,0.102,0.005,0.006,0.007,0.004,55.225,0.685,0.007,0.004,170,-0.196,-0.599,100,269180.000,0.021,0.107,38.660,0.005,1.483,0.674,0.918
35,2.113E-5,180.981,131,205,0.081,0.107,0.024,0.079,0.104,0.005,0.007,0.008,0.004,109.208,0.448,0.007,0.004,176,-0.256,-0.709,100,270023.000,0.080,0.104,113.682,0.004,2.112,0.473,0.821
36,3.745E-5,183.311,138,205,0.403,0.110,0.038,0.400,0.106,0.007,0.008,0.008,0.006,65.632,0.320,0.009,0.007,181,-0.335,-0.953,100,484675.000,0.400,0.114,58.643,0.006,1.403,0.713,0.872
37,1.121E-4,159.287,84,205,0.319,0.115,0.086,0.311,0.107,0.014,0.016,0.013,0.011,141.946,0.192,0.018,0.018,164,-0.226,-1.214,100,1260281.000,0.312,0.108,127.875,0.013,1.180,0.847,0.653
38,3.871E-5,165.549,101,205,0.029,0.118,0.034,0.025,0.114,0.007,0.009,0.008,0.006,94.594,0.417,0.009,0.006,164,-0.134,-0.897,100,452445.000,0.029,0.114,103.325,0.007,1.326,0.754,0.838
39,1.272E-4,140.189,35,205,0.396,0.124,0.063,0.388,0.115,0.013,0.017,0.016,0.010,81.450,0.397,0.017,0.018,145,-0.265,-0.864,100,1258481.000,0.395,0.115,96.072,0.013,1.585,0.631,0.818
40,2.929E-5,189.160,145,205,0.037,0.126,0.047,0.034,0.120,0.007,0.012,0.011,0.004,109.825,0.170,0.013,0.006,193.500,-0.662,-0.572,100,391183.000,0.036,0.120,112.580,0.005,3.013,0.332,0.563
41,4.397E-5,177.644,131,205,0.038,0.144,0.041,0.035,0.139,0.006,0.011,0.010,0.006,83.274,0.331,0.011,0.008,176,-0.197,-1.150,100,551406.000,0.037,0.149,72.536,0.006,1.762,0.567,0.813
42,2.711E-5,190.447,152,205,0.021,0.150,0.035,0.017,0.144,0.007,0.010,0.010,0.004,66.068,0.274,0.011,0.005,196,-0.462,-1.046,100,364516.000,0.018,0.154,58.717,0.005,2.728,0.367,0.664
43,4.880E-5,152.782,84,205,0.148,0.156,0.032,0.142,0.152,0.010,0.008,0.009,0.007,17.234,0.611,0.010,0.007,152,0.128,-1.082,100,526334.000,0.142,0.157,13.360,0.008,1.229,0.813,0.904
44,3.116E-5,178.912,138,205,0.341,0.159,0.028,0.338,0.155,0.007,0.007,0.007,0.006,53.854,0.504,0.008,0.006,176,-0.138,-1.122,100,393606.000,0.340,0.163,68.523,0.006,1.228,0.814,0.867
45,5.683E-5,157.144,84,205,0.014,0.167,0.040,0.009,0.162,0.011,0.011,0.013,0.006,45.459,0.444,0.013,0.009,152,-0.041,-1.035,100,630461.000,0.009,0.171,38.012,0.007,2.229,0.449,0.824
46,5.485E-5,148.051,65,205,0.095,0.172,0.035,0.091,0.167,0.010,0.009,0.009,0.008,51.182,0.553,0.010,0.008,152,-0.020,-1.190,100,573254.000,0.093,0.176,46.397,0.008,1.050,0.952,0.878
47,2.585E-5,182.073,145,205,0.133,0.177,0.029,0.129,0.173,0.006,0.008,0.007,0.005,117.444,0.397,0.008,0.005,181,-0.185,-1.033,100,332283.000,0.132,0.173,98.005,0.005,1.401,0.714,0.798
48,2.088E-5,183.591,131,205,0.014,0.178,0.030,0.010,0.174,0.006,0.007,0.005,0.005,155.111,0.296,0.007,0.004,191,-0.667,-0.407,100,270613.000,0.010,0.178,159.677,0.006,1.115,0.897,0.734
49,5.308E-5,157.515,84,205,0.157,0.180,0.041,0.151,0.174,0.010,0.011,0.009,0.007,120.110,0.404,0.011,0.008,152,-0.164,-1.113,100,590210.000,0.156,0.185,72.943,0.009,1.300,0.769,0.762
