 ,Area,Mean,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,4.522E-5,154.654,65,200,0.061,0.011,0.049,0.057,0.006,0.009,0.011,0.009,0.006,94.431,0.241,0.012,0.007,152,-0.331,-0.537,100,493656.000,0.060,0.006,106.756,0.008,1.398,0.715,0.667
2,1.484E-4,124.656,14,200,0.416,0.024,0.114,0.407,0.010,0.016,0.025,0.021,0.009,114.543,0.144,0.026,0.018,138,-0.312,-1.296,100,1305769.000,0.409,0.010,110.797,0.013,2.306,0.434,0.598
3,3.551E-5,164.001,101,200,0.129,0.015,0.042,0.125,0.011,0.009,0.007,0.008,0.005,35.358,0.252,0.009,0.006,170,-0.391,-0.642,100,411150.000,0.125,0.017,33.690,0.006,1.595,0.627,0.784
4,6.883E-5,159.263,84,200,0.394,0.016,0.054,0.386,0.012,0.015,0.008,0.013,0.007,0.347,0.300,0.015,0.011,164,-0.421,-0.900,100,773859.000,0.386,0.013,170.910,0.008,1.834,0.545,0.764
5,2.490E-5,176.409,138,200,0.069,0.021,0.031,0.066,0.017,0.005,0.009,0.007,0.004,79.107,0.332,0.009,0.004,176,-0.233,-1.084,100,310127.000,0.069,0.025,78.232,0.005,1.615,0.619,0.806
6,4.928E-5,169.612,65,200,0.259,0.024,0.049,0.254,0.018,0.009,0.012,0.012,0.005,63.294,0.256,0.013,0.008,176,-1.390,2.173,100,590081.000,0.255,0.030,60.698,0.007,2.118,0.472,0.725
7,1.505E-4,139.396,25,200,0.434,0.031,0.097,0.426,0.020,0.015,0.022,0.020,0.009,110.340,0.200,0.024,0.021,152,-0.530,-0.778,100,1481357.000,0.427,0.020,113.791,0.012,2.176,0.459,0.732
8,2.759E-5,163.886,109,200,0.178,0.027,0.030,0.174,0.023,0.006,0.009,0.008,0.004,108.522,0.383,0.009,0.005,170,-0.275,-0.818,100,319250.000,0.175,0.023,109.604,0.005,1.994,0.501,0.798
9,3.323E-5,152.655,84,200,0.056,0.028,0.029,0.052,0.024,0.007,0.007,0.008,0.005,53.795,0.501,0.009,0.005,152,0.118,-1.058,100,358128.000,0.052,0.031,49.086,0.005,1.689,0.592,0.846
10,4.048E-5,165.746,109,200,0.194,0.034,0.042,0.189,0.030,0.010,0.009,0.011,0.005,136.655,0.290,0.012,0.007,170,-0.241,-0.845,100,473701.000,0.189,0.031,141.597,0.006,2.504,0.399,0.762
11,7.600E-5,152.096,84,200,0.075,0.037,0.053,0.070,0.030,0.011,0.012,0.012,0.008,125.130,0.341,0.013,0.012,152,-0.147,-0.949,100,815995.000,0.073,0.030,121.232,0.009,1.521,0.658,0.836
12,2.258E-5,160.238,109,200,0.151,0.034,0.022,0.149,0.031,0.005,0.007,0.007,0.004,83.110,0.606,0.007,0.004,164,-0.011,-1.223,100,255420.000,0.152,0.031,94.686,0.004,1.729,0.578,0.903
13,1.018E-4,157.275,84,200,0.282,0.042,0.073,0.272,0.034,0.016,0.016,0.016,0.008,136.434,0.240,0.019,0.016,152,-0.153,-0.932,100,1130022.000,0.272,0.037,143.920,0.010,1.930,0.518,0.683
14,1.729E-4,116.086,25,200,0.237,0.043,0.097,0.227,0.034,0.019,0.019,0.018,0.012,137.811,0.232,0.022,0.020,109,0.111,-1.227,100,1417059.000,0.227,0.037,148.660,0.014,1.478,0.676,0.716
15,1.081E-4,102.301,25,200,0.468,0.041,0.045,0.463,0.035,0.012,0.013,0.013,0.010,114.840,0.670,0.013,0.011,84,0.679,-0.462,100,780866.000,0.464,0.035,127.381,0.011,1.255,0.797,0.954
16,2.959E-5,147.965,65,200,0.404,0.043,0.026,0.401,0.039,0.005,0.008,0.008,0.005,107.271,0.535,0.008,0.004,152,-0.253,-0.661,100,309098.000,0.401,0.039,118.413,0.005,1.594,0.628,0.891
