 ,Area,Mean,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,8.043E-5,109.281,29,145,0.157,0.010,0.129,0.151,0.001,0.012,0.019,0.014,0.007,76.214,0.061,0.021,0.009,121,-0.879,-0.498,100,3437104.000,0.154,0.021,69.740,0.011,2.026,0.494,0.499
2,1.083E-4,103.870,29,145,0.102,0.012,0.128,0.094,0.005,0.015,0.018,0.015,0.009,71.364,0.083,0.019,0.011,102,-0.298,-1.116,100,4400757.000,0.103,0.023,83.884,0.014,1.559,0.641,0.587
3,7.753E-5,129.338,52,145,0.065,0.015,0.142,0.058,0.005,0.012,0.019,0.018,0.005,75.699,0.048,0.020,0.010,137,-1.302,0.624,100,3921514.000,0.063,0.024,72.951,0.009,3.429,0.292,0.518
4,4.536E-5,83.477,29,145,0.038,0.012,0.047,0.033,0.008,0.009,0.007,0.008,0.007,6.691,0.254,0.009,0.004,73,0.189,-1.301,100,1480635.000,0.033,0.014,30.124,0.007,1.218,0.821,0.876
5,2.150E-5,110.501,52,145,0.083,0.020,0.030,0.080,0.016,0.007,0.006,0.007,0.004,138.810,0.306,0.008,0.002,102,-0.153,-1.360,100,929090.000,0.081,0.017,137.534,0.004,1.995,0.501,0.831
6,3.694E-5,140.534,94,145,0.169,0.030,0.116,0.164,0.026,0.012,0.008,0.009,0.005,24.273,0.035,0.012,0.005,145,-2.114,3.968,100,2029874.000,0.164,0.032,11.949,0.008,1.811,0.552,0.497
7,2.254E-5,116.828,52,145,0.175,0.045,0.035,0.173,0.041,0.005,0.008,0.007,0.004,102.144,0.228,0.009,0.003,121,-0.492,-1.027,100,1029609.000,0.176,0.041,94.086,0.005,1.594,0.627,0.765
8,9.820E-5,73.613,4,145,0.071,0.051,0.072,0.065,0.043,0.012,0.015,0.014,0.009,57.758,0.240,0.016,0.007,63,0.449,-1.158,100,2827052.000,0.067,0.058,71.565,0.011,1.461,0.685,0.820
9,6.479E-5,109.061,29,145,0.127,0.053,0.081,0.121,0.047,0.011,0.013,0.013,0.006,54.592,0.124,0.015,0.007,102,-0.143,-1.369,100,2763276.000,0.122,0.059,51.811,0.009,2.058,0.486,0.659
10,2.841E-5,142.396,121,145,0.116,0.055,0.064,0.113,0.051,0.006,0.007,0.007,0.005,116.840,0.086,0.008,0.004,145,-2.610,6.792,100,1582022.000,0.113,0.052,127.811,0.006,1.386,0.722,0.757
