 ,Area,Mean,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,7.391E-5,101.939,33,147,0.064,0.011,0.051,0.059,0.002,0.011,0.019,0.021,0.005,64.631,0.359,0.021,0.008,101.000,6.820E-4,-1.016,100,284309,0.059,0.021,64.231,0.005,4.599,0.217,0.802
2,5.742E-5,41.821,0,147,0.289,0.020,0.030,0.284,0.015,0.008,0.009,0.009,0.008,71.277,0.808,0.009,0.002,16.000,0.778,-0.920,100,90627,0.286,0.023,58.523,0.008,1.117,0.895,0.960
3,9.569E-5,125.446,89,147,0.649,0.071,0.059,0.643,0.064,0.010,0.014,0.015,0.008,103.865,0.341,0.016,0.012,124.000,0.065,-0.716,100,452984,0.644,0.064,124.354,0.009,1.801,0.555,0.846
4,0.002,47.978,0,147,0.540,0.128,0.421,0.511,0.067,0.062,0.110,0.087,0.033,115.495,0.159,0.112,0.108,33.000,0.549,-1.167,100,4059637,0.532,0.067,101.701,0.047,2.668,0.375,0.567
5,8.474E-5,51.845,0,147,0.325,0.083,0.038,0.321,0.077,0.009,0.013,0.014,0.008,98.907,0.737,0.013,0.004,48.000,0.570,-0.679,100,165800,0.323,0.077,106.899,0.008,1.696,0.590,0.946
6,2.613E-4,51.017,0,147,0.244,0.116,0.089,0.234,0.104,0.018,0.023,0.023,0.014,76.557,0.413,0.024,0.013,33.000,0.495,-1.242,100,503132,0.234,0.125,53.448,0.016,1.623,0.616,0.832
7,2.524E-4,53.427,0,147,0.154,0.236,0.096,0.145,0.224,0.018,0.028,0.028,0.011,113.187,0.347,0.031,0.013,40.000,0.386,-1.399,100,508891,0.147,0.224,113.475,0.014,2.438,0.410,0.784
8,1.826E-4,76.907,0,147,0.531,0.291,0.067,0.523,0.283,0.019,0.015,0.016,0.014,9.170,0.505,0.019,0.014,85.000,-0.280,-1.147,100,529810,0.525,0.283,148.456,0.015,1.130,0.885,0.875
9,4.166E-5,114.729,69,147,0.550,0.299,0.038,0.543,0.295,0.013,0.008,0.014,0.004,153.847,0.367,0.015,0.005,115.000,-0.021,-1.090,100,180354,0.543,0.296,149.250,0.005,3.811,0.262,0.783
10,8.196E-5,89.222,0,147,0.517,0.321,0.065,0.505,0.313,0.018,0.015,0.014,0.007,137.540,0.242,0.021,0.007,101.000,-0.485,-1.168,100,275963,0.505,0.313,137.545,0.011,1.918,0.521,0.603
