 ,Area,Mean,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,3.384E-5,117.845,38,156,0.047,0.020,0.028,0.043,0.017,0.008,0.007,0.008,0.005,154.974,0.552,0.009,0.004,123,-0.616,-0.732,100,150488,0.043,0.019,158.587,0.006,1.429,0.700,0.878
2,2.153E-4,59.698,0,156,0.632,0.068,0.066,0.624,0.059,0.017,0.018,0.018,0.015,121.303,0.622,0.019,0.013,44,0.346,-1.498,100,484928,0.627,0.059,115.484,0.015,1.238,0.808,0.951
3,7.883E-5,79.423,8,156,0.516,0.083,0.038,0.512,0.076,0.009,0.014,0.014,0.007,65.869,0.704,0.015,0.006,78,0.196,-0.645,100,236282,0.513,0.090,66.552,0.007,2.023,0.494,0.964
4,7.489E-5,103.966,19,156,0.186,0.142,0.055,0.181,0.136,0.011,0.015,0.012,0.008,76.231,0.312,0.015,0.008,112,-0.427,-1.083,100,293809,0.183,0.151,56.646,0.010,1.459,0.686,0.666
5,7.886E-5,106.634,8,156,0.603,0.155,0.040,0.598,0.150,0.011,0.010,0.011,0.009,146.937,0.623,0.012,0.008,120,-0.806,-0.335,100,317343,0.599,0.150,140.290,0.010,1.207,0.829,0.890
6,1.140E-4,89.894,0,156,0.416,0.169,0.093,0.410,0.161,0.015,0.019,0.014,0.010,60.388,0.166,0.020,0.010,102,-0.329,-1.321,100,386812,0.412,0.179,70.378,0.013,1.384,0.723,0.642
7,1.267E-4,100.888,10,156,0.304,0.175,0.064,0.298,0.166,0.010,0.021,0.021,0.008,86.889,0.386,0.021,0.013,109,-0.454,-0.900,100,482549,0.301,0.166,93.549,0.009,2.681,0.373,0.792
8,2.203E-4,93.548,0,156,0.420,0.219,0.121,0.408,0.204,0.023,0.027,0.028,0.010,44.348,0.189,0.032,0.021,99,-0.481,-0.827,100,777855,0.409,0.227,46.848,0.014,2.698,0.371,0.662
9,1.327E-4,74.086,0,156,0.620,0.221,0.053,0.613,0.213,0.013,0.016,0.017,0.010,129.410,0.600,0.018,0.010,82,-0.049,-1.451,100,371024,0.614,0.214,126.254,0.011,1.656,0.604,0.916
10,4.028E-5,114.516,29,156,0.401,0.231,0.035,0.395,0.228,0.012,0.006,0.012,0.004,10.902,0.425,0.012,0.005,123,-0.671,-0.393,100,174064,0.395,0.233,13.851,0.005,2.833,0.353,0.801
11,1.191E-4,119.550,25,156,0.420,0.298,0.058,0.413,0.291,0.014,0.016,0.015,0.010,55.223,0.444,0.018,0.014,123,-0.708,0.265,100,537378,0.415,0.306,61.305,0.011,1.551,0.645,0.789
12,2.170E-5,137.313,99,156,0.413,0.312,0.031,0.411,0.306,0.005,0.012,0.010,0.003,101.162,0.279,0.012,0.003,140,-0.463,-0.843,100,112459,0.414,0.306,94.764,0.004,3.941,0.254,0.630
13,8.420E-4,77.883,0,156,0.117,0.324,0.197,0.093,0.308,0.048,0.032,0.046,0.024,172.938,0.272,0.049,0.066,85,-0.165,-1.297,100,2474804,0.093,0.320,166.563,0.032,1.931,0.518,0.704
14,7.489E-5,101.550,19,156,0.570,0.330,0.034,0.565,0.325,0.011,0.009,0.012,0.008,31.415,0.811,0.012,0.008,106,-0.205,-0.670,100,286980,0.565,0.333,29.275,0.008,1.550,0.645,0.965
15,2.318E-4,43.363,0,156,0.398,0.341,0.067,0.389,0.331,0.018,0.019,0.019,0.016,139.561,0.656,0.020,0.010,23,0.892,-0.608,100,379296,0.391,0.335,138.289,0.016,1.211,0.826,0.935
16,3.561E-5,126.903,78,156,0.266,0.345,0.040,0.263,0.336,0.006,0.014,0.012,0.004,81.872,0.284,0.015,0.005,133,-0.293,-1.270,100,170558,0.265,0.350,77.816,0.005,3.068,0.326,0.644
17,6.717E-5,87.297,1,156,0.355,0.350,0.037,0.350,0.345,0.012,0.010,0.011,0.008,32.623,0.604,0.012,0.006,91,-0.149,-1.264,100,221298,0.350,0.353,28.909,0.008,1.493,0.670,0.889
18,2.569E-4,77.623,0,156,0.574,0.420,0.099,0.564,0.407,0.021,0.025,0.026,0.013,64.583,0.332,0.028,0.020,85,-0.140,-1.216,100,752556,0.565,0.429,52.734,0.015,2.053,0.487,0.751
19,5.287E-5,108.464,48,156,0.252,0.444,0.040,0.248,0.440,0.012,0.008,0.010,0.007,22.733,0.418,0.013,0.006,109,-0.040,-1.251,100,216386,0.248,0.446,27.860,0.008,1.482,0.675,0.795
20,1.488E-4,114.779,44,156,0.573,0.511,0.067,0.566,0.502,0.016,0.017,0.016,0.012,52.392,0.415,0.017,0.017,123,-0.365,-1.161,100,644485,0.566,0.517,24.179,0.012,1.380,0.725,0.891
21,1.996E-4,84.426,0,156,0.384,0.518,0.092,0.374,0.509,0.020,0.018,0.019,0.013,42.395,0.299,0.022,0.017,91,-0.302,-1.167,100,635980,0.375,0.526,37.036,0.016,1.406,0.711,0.752
