 ,Area,Mean,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,2.534E-5,158.371,101,181,0.192,0.007,0.032,0.187,0.003,0.009,0.007,0.008,0.004,36.027,0.320,0.009,0.004,164,-0.922,0.465,100,283325.000,0.187,0.008,17.526,0.006,1.916,0.522,0.694
2,2.710E-5,161.314,124,181,0.214,0.009,0.032,0.210,0.005,0.006,0.007,0.008,0.004,44.560,0.340,0.009,0.004,164,-0.071,-1.338,100,308594.000,0.210,0.011,51.216,0.005,1.705,0.587,0.836
3,7.764E-5,158.407,101,181,0.265,0.019,0.073,0.260,0.010,0.009,0.017,0.015,0.006,91.141,0.181,0.017,0.012,164,-0.811,-0.184,100,868231.000,0.264,0.027,84.877,0.009,2.386,0.419,0.695
4,3.006E-5,175.079,152,181,0.470,0.013,0.045,0.466,0.010,0.008,0.006,0.008,0.005,18.769,0.186,0.009,0.005,176,-1.582,4.203,100,371518.000,0.466,0.016,41.186,0.006,1.797,0.557,0.745
5,6.373E-5,142.703,65,181,0.221,0.022,0.045,0.216,0.018,0.011,0.010,0.010,0.008,170.667,0.396,0.011,0.009,145,-0.426,-0.776,100,642020.000,0.216,0.021,4.399,0.009,1.222,0.818,0.872
6,3.343E-5,168.579,138,181,0.054,0.024,0.039,0.050,0.021,0.009,0.006,0.008,0.005,19.252,0.278,0.009,0.006,170,-0.705,-0.672,100,397846.000,0.051,0.025,15.843,0.006,1.517,0.659,0.843
7,3.105E-5,135.599,35,181,0.079,0.025,0.035,0.075,0.022,0.009,0.007,0.007,0.005,7.664,0.317,0.009,0.004,138,-0.263,-0.802,100,297233.000,0.075,0.025,9.335,0.006,1.357,0.737,0.797
8,7.321E-4,133.618,0,181,0.419,0.049,0.417,0.379,0.025,0.086,0.049,0.078,0.012,22.085,0.053,0.089,0.098,145,-1.039,0.360,100,6905380.000,0.383,0.070,23.939,0.021,6.515,0.153,0.472
9,7.960E-5,162.863,101,181,0.391,0.033,0.085,0.381,0.026,0.017,0.014,0.014,0.007,140.517,0.140,0.017,0.013,164,-0.876,0.428,100,915126.000,0.381,0.030,163.339,0.011,1.925,0.519,0.575
10,3.393E-5,172.074,131,181,0.236,0.029,0.057,0.229,0.027,0.015,0.004,0.014,0.003,2.737,0.132,0.015,0.006,176,-1.512,1.666,100,412117.000,0.229,0.028,2.328,0.004,4.673,0.214,0.696
11,5.389E-5,160.892,109,181,0.411,0.033,0.062,0.406,0.027,0.008,0.012,0.011,0.006,108.683,0.176,0.013,0.009,170,-0.836,-0.334,100,612035.000,0.409,0.027,109.290,0.008,1.736,0.576,0.766
12,1.020E-4,169.653,109,181,0.263,0.040,0.172,0.254,0.030,0.015,0.020,0.016,0.008,114.027,0.043,0.024,0.017,176,-1.858,3.435,100,1221334.000,0.256,0.030,122.250,0.015,2.020,0.495,0.428
