 ,Area,Mean,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,6.023E-5,139.751,82,185,0.028,0.015,0.036,0.024,0.009,0.009,0.012,0.012,0.006,115.251,0.583,0.012,0.008,140,-0.082,-1.162,100,317655.000,0.026,0.009,113.886,0.007,2.025,0.494,0.847
2,2.128E-5,170.544,145,185,0.619,0.025,0.020,0.616,0.023,0.007,0.005,0.006,0.004,4.977,0.680,0.007,0.004,171,-0.166,-1.202,100,136947.000,0.616,0.026,15.376,0.005,1.456,0.687,0.907
3,4.080E-4,125.599,46,185,0.358,0.054,0.150,0.342,0.037,0.031,0.034,0.037,0.014,130.763,0.228,0.043,0.051,126,-0.117,-0.986,100,1933847.000,0.343,0.038,128.182,0.018,2.571,0.389,0.683
4,1.027E-4,120.244,50,185,0.457,0.050,0.044,0.451,0.042,0.012,0.013,0.013,0.010,131.777,0.652,0.015,0.012,118,0.034,-1.427,100,465946.000,0.452,0.042,117.699,0.011,1.278,0.782,0.915
5,7.907E-5,138.958,63,185,0.383,0.065,0.044,0.379,0.058,0.008,0.015,0.013,0.008,83.174,0.522,0.015,0.011,145,-0.436,-0.964,100,414650.000,0.382,0.074,85.741,0.008,1.777,0.563,0.894
6,5.599E-5,160.290,121,185,0.466,0.084,0.037,0.462,0.079,0.008,0.011,0.009,0.008,114.528,0.522,0.011,0.009,159,-0.157,-0.961,100,338693.000,0.463,0.090,83.191,0.008,1.240,0.807,0.815
7,1.687E-4,115.134,58,185,0.238,0.101,0.055,0.228,0.094,0.018,0.014,0.017,0.013,166.716,0.697,0.018,0.019,106,0.444,-1.084,100,732825.000,0.228,0.099,174.852,0.013,1.333,0.750,0.932
8,2.817E-5,165.855,127,185,0.522,0.104,0.032,0.517,0.101,0.010,0.007,0.008,0.004,7.988,0.345,0.010,0.005,170,-0.620,-0.722,100,176304.000,0.517,0.105,23.782,0.006,1.970,0.508,0.694
9,1.418E-4,156.823,106,185,0.530,0.115,0.084,0.519,0.107,0.026,0.015,0.026,0.007,155.533,0.251,0.028,0.022,159,-0.267,-1.113,100,839159.000,0.520,0.108,152.981,0.009,3.864,0.259,0.692
10,1.571E-4,130.665,73,185,0.225,0.119,0.078,0.212,0.112,0.024,0.015,0.021,0.010,23.446,0.324,0.024,0.021,126,0.233,-1.087,100,774584.000,0.212,0.120,12.068,0.013,2.177,0.459,0.749
11,8.880E-5,142.603,82,185,0.551,0.122,0.045,0.543,0.116,0.014,0.011,0.012,0.009,164.094,0.539,0.015,0.013,145,-0.257,-1.147,100,477861.000,0.543,0.123,8.310,0.010,1.255,0.797,0.854
12,4.052E-5,141.311,96,185,0.173,0.121,0.029,0.167,0.119,0.011,0.005,0.011,0.005,6.021,0.605,0.011,0.006,137,0.281,-1.113,100,216065.000,0.167,0.123,8.489,0.005,2.462,0.406,0.928
13,5.181E-5,139.193,89,185,0.471,0.128,0.038,0.466,0.123,0.010,0.011,0.010,0.006,118.273,0.449,0.012,0.007,137,0.057,-1.351,100,272123.000,0.466,0.123,120.964,0.008,1.580,0.633,0.767
14,2.549E-5,149.825,84,185,0.050,0.137,0.026,0.046,0.134,0.009,0.005,0.008,0.004,6.563,0.470,0.009,0.004,154,-0.475,-0.879,100,144132.000,0.046,0.137,12.758,0.005,2.014,0.496,0.810
15,2.117E-5,160.033,127,185,0.158,0.161,0.024,0.155,0.159,0.007,0.005,0.007,0.004,175.980,0.475,0.008,0.003,159,-0.092,-1.172,100,127866.000,0.155,0.159,150.832,0.005,1.791,0.558,0.788
16,2.467E-4,124.298,40,185,0.587,0.181,0.084,0.579,0.169,0.018,0.023,0.023,0.014,89.644,0.439,0.025,0.031,127,-0.274,-1.022,100,1157089.000,0.582,0.169,110.468,0.016,1.638,0.610,0.795
17,2.043E-5,158.471,112,185,0.314,0.180,0.023,0.311,0.178,0.006,0.006,0.007,0.004,56.181,0.505,0.008,0.003,163,-0.527,-0.876,100,122181.000,0.311,0.184,45.855,0.005,1.632,0.613,0.827
18,4.228E-4,136.208,76,185,0.488,0.196,0.118,0.477,0.183,0.022,0.029,0.027,0.020,88.742,0.381,0.029,0.058,133,0.138,-0.989,100,2173472.000,0.479,0.183,99.879,0.021,1.325,0.755,0.856
19,4.791E-5,139.354,94,185,0.414,0.191,0.034,0.409,0.187,0.011,0.008,0.011,0.006,37.522,0.511,0.013,0.007,136,0.296,-1.070,100,251952.000,0.409,0.196,35.455,0.007,1.917,0.522,0.820
20,1.074E-4,152.090,89,185,0.354,0.200,0.072,0.349,0.190,0.011,0.020,0.019,0.007,99.079,0.260,0.020,0.016,157,-0.541,-0.562,100,616571.000,0.352,0.190,91.833,0.010,2.518,0.397,0.670
21,2.030E-5,161.148,131,185,0.174,0.196,0.021,0.170,0.193,0.006,0.005,0.006,0.004,23.809,0.606,0.006,0.003,159,0.149,-1.242,100,123439.000,0.171,0.198,38.884,0.005,1.340,0.746,0.845
22,5.273E-4,112.061,29,185,0.542,0.215,0.121,0.528,0.203,0.027,0.030,0.027,0.025,63.150,0.453,0.032,0.059,117,-0.076,-1.501,100,2229797.000,0.535,0.231,52.953,0.026,1.094,0.914,0.875
23,3.670E-5,156.921,112,185,0.657,0.210,0.028,0.654,0.205,0.007,0.009,0.008,0.006,106.050,0.601,0.009,0.006,159,-0.454,-0.937,100,217336.000,0.655,0.205,127.073,0.006,1.380,0.725,0.894
24,2.191E-5,163.811,140,185,0.099,0.220,0.021,0.095,0.217,0.006,0.006,0.007,0.004,127.747,0.648,0.007,0.004,163,0.044,-1.148,100,135472.000,0.096,0.217,129.472,0.005,1.754,0.570,0.841
25,2.168E-4,130.099,63,185,0.214,0.265,0.104,0.207,0.250,0.012,0.035,0.032,0.009,92.301,0.253,0.035,0.028,131,-0.128,-1.130,100,1064598.000,0.213,0.250,92.375,0.012,3.719,0.269,0.669
26,2.253E-4,112.836,54,185,0.072,0.284,0.072,0.066,0.272,0.013,0.026,0.026,0.011,98.822,0.540,0.026,0.025,106,0.424,-1.084,100,959219.000,0.068,0.272,98.936,0.012,2.313,0.432,0.916
27,3.779E-5,142.319,94,185,0.414,0.281,0.028,0.411,0.276,0.006,0.009,0.010,0.005,107.117,0.595,0.010,0.005,140.500,0.124,-1.177,100,202947.000,0.411,0.277,119.055,0.005,2.058,0.486,0.895
28,6.876E-5,140.106,89,185,0.236,0.285,0.040,0.231,0.281,0.011,0.010,0.010,0.009,13.883,0.530,0.012,0.010,141,-0.030,-1.261,100,363574.000,0.232,0.289,34.136,0.010,1.174,0.852,0.861
29,3.302E-5,151.419,112,185,0.195,0.297,0.027,0.191,0.293,0.007,0.008,0.007,0.006,79.177,0.590,0.008,0.005,150,0.074,-1.258,100,188668.000,0.193,0.300,65.462,0.007,1.333,0.750,0.854
30,4.775E-5,144.330,84,185,0.475,0.321,0.033,0.470,0.317,0.011,0.008,0.010,0.006,160.036,0.536,0.011,0.007,145,-0.259,-0.851,100,260082.000,0.470,0.321,175.795,0.007,1.574,0.635,0.816
31,1.914E-4,134.444,60,185,0.370,0.338,0.100,0.354,0.328,0.027,0.020,0.024,0.010,146.879,0.242,0.030,0.026,141,-0.383,-1.134,100,970951.000,0.354,0.331,157.380,0.014,2.403,0.416,0.619
32,2.068E-4,125.959,44,185,0.646,0.337,0.079,0.637,0.328,0.018,0.019,0.018,0.014,102.237,0.418,0.021,0.026,131,-0.234,-1.266,100,982981.000,0.645,0.348,65.630,0.016,1.254,0.797,0.834
33,4.717E-5,140.450,78,185,0.455,0.335,0.034,0.450,0.330,0.009,0.008,0.009,0.007,3.902,0.515,0.010,0.007,141,-0.233,-1.063,100,250001.000,0.450,0.337,26.147,0.008,1.228,0.814,0.835
34,1.283E-4,118.818,54,185,0.209,0.344,0.065,0.197,0.337,0.019,0.015,0.015,0.011,160.757,0.377,0.019,0.015,112,0.150,-1.494,100,575434.000,0.197,0.344,7.787,0.013,1.374,0.728,0.725
35,6.527E-5,157.601,89,185,0.117,0.352,0.056,0.109,0.346,0.016,0.009,0.012,0.007,1.729,0.258,0.017,0.010,163,-1.087,0.556,100,388172.000,0.109,0.352,174.346,0.009,1.847,0.541,0.637
36,2.417E-5,155.799,112,185,0.255,0.356,0.028,0.251,0.354,0.009,0.005,0.008,0.004,4.149,0.397,0.009,0.004,158,-0.230,-1.200,100,142089.000,0.251,0.356,6.459,0.004,1.941,0.515,0.773
37,4.629E-5,140.159,89,185,0.237,0.359,0.030,0.232,0.356,0.010,0.007,0.010,0.006,17.772,0.661,0.010,0.006,137,0.096,-1.094,100,244857.000,0.232,0.361,22.135,0.007,1.748,0.572,0.882
38,5.196E-5,156.559,110,185,0.060,0.363,0.040,0.054,0.358,0.012,0.008,0.012,0.006,161.694,0.400,0.013,0.008,158,-0.309,-0.750,100,307013.000,0.054,0.360,155.433,0.007,2.071,0.483,0.777
39,3.980E-5,146.381,106,185,0.284,0.370,0.028,0.280,0.366,0.008,0.007,0.008,0.006,8.129,0.620,0.009,0.006,145,0.130,-1.327,100,219865.000,0.280,0.372,28.009,0.007,1.229,0.813,0.871
40,8.231E-5,138.197,73,185,0.084,0.372,0.051,0.077,0.366,0.013,0.015,0.014,0.007,133.192,0.395,0.018,0.011,141,-0.249,-1.111,100,429240.000,0.077,0.366,123.111,0.009,1.943,0.515,0.768
41,1.098E-4,134.231,60,185,0.008,0.373,0.048,0.003,0.367,0.012,0.013,0.013,0.010,61.735,0.601,0.015,0.015,140,-0.276,-1.255,100,556388.000,0.003,0.377,43.210,0.012,1.280,0.781,0.896
