 ,Area,Mean,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,2.525E-4,126.465,44,186,0.235,0.020,0.099,0.224,0.007,0.022,0.026,0.027,0.012,55.327,0.323,0.030,0.032,131,-0.243,-1.193,100,1205211.000,0.224,0.028,43.911,0.016,2.214,0.452,0.716
2,7.115E-5,156.098,101,186,0.356,0.014,0.044,0.352,0.007,0.010,0.014,0.013,0.007,62.070,0.462,0.014,0.011,161,-0.581,-0.583,100,419123.000,0.353,0.021,70.128,0.008,1.780,0.562,0.820
3,4.918E-5,142.911,69,186,0.291,0.012,0.039,0.286,0.008,0.011,0.007,0.010,0.006,4.046,0.397,0.012,0.007,152,-0.433,-1.016,100,265243.000,0.286,0.014,27.979,0.007,1.595,0.627,0.780
4,2.229E-5,155.163,114,186,0.296,0.017,0.022,0.292,0.014,0.008,0.006,0.008,0.004,25.367,0.587,0.008,0.003,157,-0.078,-1.253,100,130492.000,0.292,0.018,23.051,0.004,2.292,0.436,0.875
5,6.036E-5,133.172,60,186,0.370,0.018,0.037,0.364,0.014,0.013,0.009,0.011,0.007,11.754,0.569,0.013,0.008,138,-0.266,-1.278,100,303366.000,0.364,0.018,9.462,0.008,1.493,0.670,0.864
6,3.951E-5,151.749,97,186,0.160,0.019,0.031,0.155,0.015,0.008,0.008,0.007,0.007,102.254,0.503,0.010,0.006,157,-0.427,-1.002,100,226258.000,0.155,0.016,150.376,0.008,1.057,0.946,0.750
7,7.852E-5,139.363,78,186,0.085,0.027,0.047,0.082,0.019,0.007,0.017,0.016,0.006,91.293,0.449,0.017,0.011,140,-0.047,-1.301,100,412932.000,0.082,0.036,81.714,0.007,2.716,0.368,0.816
8,1.502E-4,129.025,50,186,0.019,0.027,0.060,0.009,0.022,0.019,0.012,0.018,0.011,161.218,0.526,0.019,0.019,130,-0.195,-1.119,100,731313.000,0.009,0.024,169.261,0.012,1.720,0.581,0.860
9,1.895E-4,151.458,97,186,0.153,0.044,0.120,0.141,0.033,0.032,0.017,0.025,0.009,165.285,0.167,0.035,0.029,156,-0.370,-0.942,100,1082927.000,0.142,0.034,151.864,0.016,2.681,0.373,0.538
10,2.578E-5,169.350,134,186,0.136,0.039,0.031,0.130,0.036,0.010,0.005,0.010,0.003,10.350,0.340,0.010,0.004,171,-0.431,-0.856,100,164778.000,0.130,0.040,172.763,0.005,2.883,0.347,0.702
11,4.078E-5,158.132,106,186,0.338,0.042,0.040,0.335,0.036,0.005,0.013,0.012,0.004,87.497,0.328,0.013,0.006,161,-0.425,-0.894,100,243365.000,0.339,0.049,87.852,0.005,2.962,0.338,0.724
12,4.698E-5,144.203,76,186,0.596,0.052,0.030,0.592,0.047,0.008,0.008,0.008,0.008,81.790,0.669,0.009,0.007,152,-0.449,-1.101,100,255672.000,0.594,0.048,121.891,0.008,1.008,0.992,0.924
13,4.481E-5,135.876,69,186,0.377,0.057,0.033,0.372,0.052,0.010,0.009,0.011,0.005,33.192,0.525,0.011,0.006,143,-0.303,-1.269,100,229766.000,0.372,0.061,29.134,0.006,2.100,0.476,0.836
14,6.704E-5,135.545,75,186,0.259,0.058,0.041,0.253,0.054,0.012,0.010,0.012,0.007,26.035,0.508,0.013,0.009,134,-0.015,-1.016,100,342928.000,0.254,0.061,32.307,0.008,1.782,0.561,0.837
15,1.308E-4,136.846,63,186,0.394,0.070,0.077,0.389,0.059,0.011,0.022,0.022,0.008,82.168,0.279,0.023,0.018,140,-0.243,-1.177,100,675473.000,0.392,0.082,77.339,0.010,2.885,0.347,0.725
16,5.154E-4,131.440,58,186,0.612,0.080,0.192,0.597,0.062,0.040,0.031,0.031,0.021,178.852,0.176,0.043,0.068,131,-0.130,-1.234,100,2556384.000,0.598,0.090,23.342,0.030,1.462,0.684,0.601
17,3.471E-5,167.125,130,186,0.123,0.076,0.036,0.118,0.073,0.012,0.007,0.010,0.004,168.531,0.334,0.012,0.006,171,-0.604,-0.826,100,218934.000,0.118,0.076,175.972,0.006,2.454,0.408,0.646
18,1.717E-4,140.498,63,186,0.114,0.088,0.093,0.106,0.077,0.017,0.023,0.021,0.011,106.128,0.252,0.023,0.024,143,-0.360,-0.895,100,910430.000,0.109,0.078,114.209,0.016,1.930,0.518,0.596
19,2.737E-5,144.013,82,186,0.087,0.085,0.023,0.084,0.082,0.006,0.008,0.008,0.005,68.314,0.658,0.008,0.004,145,-0.305,-1.026,100,148765.000,0.085,0.089,64.440,0.005,1.680,0.595,0.889
20,1.732E-4,111.965,38,186,0.487,0.093,0.064,0.481,0.083,0.012,0.021,0.021,0.011,86.695,0.523,0.021,0.019,114,0.064,-1.334,100,731694.000,0.484,0.083,100.784,0.012,1.990,0.502,0.879
21,1.865E-4,120.160,50,186,0.391,0.095,0.095,0.375,0.085,0.028,0.017,0.025,0.010,15.267,0.261,0.029,0.022,120,0.039,-1.339,100,845567.000,0.376,0.100,27.864,0.015,2.623,0.381,0.600
22,3.633E-5,137.449,82,186,0.274,0.095,0.027,0.270,0.092,0.009,0.007,0.008,0.006,144.226,0.645,0.009,0.005,136,0.012,-1.382,100,188442.000,0.271,0.093,145.491,0.006,1.422,0.703,0.868
23,4.817E-5,147.752,82,186,0.430,0.098,0.038,0.427,0.093,0.007,0.013,0.011,0.006,92.727,0.417,0.013,0.007,153,-0.445,-1.029,100,268614.000,0.429,0.106,81.973,0.007,1.805,0.554,0.817
24,1.149E-4,139.197,71,186,0.103,0.107,0.062,0.093,0.100,0.021,0.012,0.020,0.007,19.087,0.370,0.022,0.016,143,-0.273,-1.150,100,603560.000,0.093,0.110,17.761,0.009,2.741,0.365,0.756
25,5.477E-5,154.104,82,186,0.116,0.114,0.042,0.112,0.107,0.007,0.014,0.013,0.005,99.325,0.382,0.014,0.008,158,-0.808,-0.070,100,318533.000,0.114,0.107,103.092,0.007,2.406,0.416,0.768
26,4.574E-5,155.925,89,186,0.361,0.129,0.038,0.354,0.125,0.013,0.008,0.012,0.005,10.211,0.394,0.013,0.007,161,-0.733,-0.318,100,269126.000,0.354,0.130,8.637,0.007,2.504,0.399,0.717
27,3.845E-4,122.642,50,186,0.361,0.139,0.113,0.343,0.130,0.035,0.019,0.035,0.014,177.076,0.375,0.036,0.047,124,-0.084,-0.952,100,1779658.000,0.343,0.140,10.954,0.018,2.458,0.407,0.783
28,1.396E-4,143.331,76,186,0.065,0.141,0.076,0.054,0.134,0.022,0.013,0.021,0.008,167.903,0.303,0.024,0.020,145,-0.353,-1.022,100,754927.000,0.054,0.134,152.734,0.012,2.540,0.394,0.642
29,6.092E-5,175.091,148,186,0.187,0.139,0.043,0.180,0.135,0.014,0.008,0.012,0.006,179.511,0.405,0.014,0.011,177,-0.864,0.026,100,402535.000,0.180,0.139,4.764,0.008,2.007,0.498,0.819
30,8.867E-5,151.010,78,186,0.432,0.152,0.071,0.427,0.141,0.012,0.022,0.017,0.007,109.030,0.224,0.022,0.013,157,-0.610,-0.598,100,505279.000,0.430,0.141,98.907,0.009,2.660,0.376,0.596
31,3.005E-5,164.966,136,186,0.022,0.149,0.026,0.019,0.145,0.006,0.008,0.007,0.005,78.223,0.570,0.008,0.005,165,-0.060,-1.211,100,187072.000,0.021,0.145,95.826,0.006,1.397,0.716,0.862
32,4.293E-5,166.206,126,186,0.064,0.158,0.030,0.060,0.153,0.007,0.010,0.010,0.005,105.385,0.589,0.010,0.007,169,-0.543,-0.798,100,269254.000,0.062,0.153,111.631,0.006,1.866,0.536,0.888
33,3.273E-5,150.971,106,186,0.394,0.162,0.033,0.392,0.155,0.004,0.014,0.015,0.003,83.092,0.367,0.014,0.005,148,0.118,-1.178,100,186449.000,0.393,0.169,81.773,0.003,5.187,0.193,0.803
34,3.816E-5,164.633,124,186,0.587,0.165,0.034,0.584,0.159,0.007,0.010,0.010,0.005,111.009,0.426,0.010,0.006,169,-0.557,-0.994,100,237071.000,0.588,0.159,96.242,0.006,2.028,0.493,0.806
35,7.091E-5,142.482,69,186,0.367,0.168,0.048,0.363,0.160,0.010,0.015,0.011,0.008,93.958,0.379,0.015,0.010,148,-0.488,-0.881,100,381283.000,0.365,0.160,91.868,0.010,1.313,0.761,0.750
36,5.149E-5,145.755,94,186,0.182,0.168,0.037,0.178,0.163,0.009,0.012,0.010,0.006,69.446,0.477,0.013,0.008,148,-0.185,-1.061,100,283202.000,0.182,0.175,69.444,0.008,1.579,0.633,0.797
37,2.668E-5,159.205,114,186,0.417,0.177,0.030,0.414,0.173,0.008,0.007,0.008,0.004,135.091,0.380,0.010,0.004,165,-0.463,-1.216,100,160319.000,0.415,0.173,140.194,0.005,2.107,0.475,0.721
38,8.763E-5,156.526,101,186,0.366,0.192,0.070,0.361,0.178,0.009,0.023,0.021,0.005,73.379,0.226,0.024,0.014,161,-0.577,-0.429,100,517633.000,0.363,0.201,76.626,0.008,3.813,0.262,0.645
39,4.963E-4,123.370,29,186,0.615,0.193,0.125,0.602,0.178,0.031,0.030,0.028,0.023,142.095,0.400,0.034,0.061,124,-0.170,-0.851,100,2310482.000,0.603,0.182,153.930,0.026,1.201,0.832,0.842
40,4.624E-5,146.823,106,186,0.358,0.183,0.032,0.352,0.180,0.011,0.006,0.011,0.005,1.640,0.563,0.012,0.007,145,0.050,-1.075,100,256206.000,0.352,0.183,13.055,0.006,2.028,0.493,0.841
41,1.354E-4,144.174,89,186,0.421,0.192,0.084,0.413,0.183,0.017,0.016,0.018,0.010,33.230,0.241,0.020,0.020,143,0.048,-1.195,100,736727.000,0.413,0.196,32.152,0.012,1.839,0.544,0.729
42,2.085E-5,148.358,97,186,0.384,0.201,0.021,0.381,0.198,0.006,0.006,0.006,0.004,126.157,0.619,0.007,0.003,148,-0.157,-1.283,100,116758.000,0.381,0.199,133.091,0.005,1.515,0.660,0.849
43,2.181E-5,164.651,130,186,0.360,0.204,0.023,0.356,0.201,0.008,0.004,0.008,0.004,176.099,0.515,0.008,0.004,165,-0.331,-0.931,100,135508.000,0.356,0.203,158.629,0.004,2.119,0.472,0.797
44,2.973E-5,164.910,136,186,0.202,0.206,0.025,0.198,0.202,0.008,0.007,0.009,0.004,38.993,0.585,0.009,0.005,165,0.033,-0.995,100,185029.000,0.199,0.209,40.061,0.005,2.276,0.439,0.872
45,1.966E-5,164.899,130,186,0.050,0.207,0.020,0.047,0.203,0.004,0.007,0.006,0.004,87.393,0.645,0.007,0.003,165,-0.244,-1.179,100,122355.000,0.049,0.210,75.651,0.004,1.676,0.597,0.891
46,3.212E-5,154.412,114,186,0.493,0.208,0.030,0.488,0.204,0.010,0.008,0.013,0.003,39.909,0.439,0.013,0.005,156,-0.059,-1.274,100,187147.000,0.488,0.213,40.914,0.004,3.911,0.256,0.850
47,9.760E-5,158.505,106,186,0.218,0.230,0.086,0.210,0.221,0.015,0.020,0.017,0.007,57.845,0.165,0.022,0.015,164,-0.600,-0.671,100,583775.000,0.215,0.241,62.301,0.012,2.228,0.449,0.510
48,1.111E-4,135.282,75,186,0.069,0.239,0.051,0.061,0.233,0.018,0.010,0.018,0.008,158.818,0.545,0.019,0.015,134,-0.012,-1.207,100,567103.000,0.061,0.235,154.954,0.008,2.307,0.433,0.908
49,2.186E-4,140.395,76,186,0.059,0.252,0.084,0.050,0.238,0.017,0.024,0.022,0.013,106.572,0.386,0.025,0.031,143,-0.155,-1.094,100,1158398.000,0.057,0.238,104.859,0.016,1.663,0.601,0.774
50,1.493E-4,117.250,35,186,0.619,0.247,0.056,0.611,0.238,0.014,0.017,0.017,0.011,120.398,0.601,0.018,0.018,120,-0.067,-1.426,100,660821.000,0.615,0.239,116.328,0.012,1.459,0.685,0.904
51,2.576E-5,164.731,131,186,0.538,0.246,0.027,0.535,0.243,0.007,0.007,0.007,0.005,139.969,0.456,0.008,0.004,165,-0.130,-1.118,100,160119.000,0.535,0.243,146.004,0.005,1.562,0.640,0.795
52,2.838E-5,146.368,89,186,0.012,0.247,0.021,0.009,0.244,0.006,0.007,0.007,0.005,118.048,0.784,0.007,0.004,148,-0.279,-1.118,100,156760.000,0.009,0.244,126.119,0.005,1.325,0.755,0.933
53,2.596E-4,135.549,58,186,0.459,0.266,0.116,0.450,0.251,0.017,0.030,0.027,0.012,68.060,0.242,0.032,0.035,143,-0.392,-0.994,100,1328112.000,0.452,0.280,68.523,0.017,2.227,0.449,0.673
54,6.513E-5,130.473,69,186,0.358,0.270,0.039,0.354,0.264,0.009,0.011,0.010,0.008,109.238,0.534,0.012,0.008,130,0.032,-1.405,100,320702.000,0.355,0.265,120.426,0.008,1.320,0.757,0.884
55,1.805E-4,138.277,50,186,0.654,0.277,0.086,0.645,0.264,0.016,0.028,0.024,0.010,115.528,0.304,0.031,0.025,152,-0.580,-1.008,100,942080.000,0.646,0.265,119.291,0.011,2.529,0.395,0.770
56,6.487E-5,162.206,114,186,0.350,0.283,0.056,0.347,0.274,0.009,0.016,0.015,0.005,104.490,0.259,0.017,0.011,164,-0.531,-0.537,100,397080.000,0.348,0.274,101.746,0.009,2.761,0.362,0.695
57,2.854E-5,159.412,117,186,0.554,0.278,0.025,0.551,0.275,0.008,0.007,0.007,0.005,156.203,0.594,0.008,0.005,161,-0.362,-1.078,100,171687.000,0.551,0.275,150.945,0.006,1.489,0.672,0.855
58,5.663E-4,130.296,38,186,0.392,0.301,0.250,0.368,0.283,0.060,0.041,0.059,0.012,146.652,0.114,0.070,0.074,138,-0.512,-0.863,100,2784296.000,0.368,0.284,148.219,0.019,4.835,0.207,0.595
59,3.508E-5,147.487,101,186,0.243,0.293,0.027,0.240,0.287,0.007,0.009,0.008,0.006,93.078,0.605,0.009,0.005,148,0.003,-1.238,100,195273.000,0.243,0.287,103.069,0.006,1.457,0.687,0.871
60,1.693E-4,138.619,60,186,0.545,0.318,0.100,0.535,0.306,0.018,0.025,0.024,0.009,115.175,0.214,0.028,0.023,143,-0.439,-0.667,100,885495.000,0.538,0.307,122.597,0.013,2.714,0.368,0.616
61,3.175E-5,154.931,106,186,0.447,0.313,0.029,0.444,0.309,0.009,0.007,0.007,0.006,32.832,0.468,0.009,0.005,158,-0.386,-1.070,100,185607.000,0.444,0.314,21.991,0.007,1.232,0.812,0.782
62,2.994E-5,166.337,124,186,0.401,0.318,0.031,0.398,0.315,0.007,0.006,0.007,0.005,19.695,0.397,0.008,0.005,171,-0.883,-0.257,100,187961.000,0.398,0.320,38.089,0.006,1.323,0.756,0.826
63,1.773E-4,144.680,82,186,0.461,0.345,0.108,0.443,0.334,0.031,0.018,0.024,0.009,13.863,0.193,0.031,0.026,148,-0.312,-1.056,100,967766.000,0.443,0.342,2.088,0.015,2.627,0.381,0.525
64,6.357E-5,153.511,117,186,0.550,0.341,0.038,0.546,0.335,0.007,0.013,0.013,0.006,91.395,0.563,0.013,0.010,153,0.047,-1.302,100,368272.000,0.551,0.335,99.583,0.007,1.968,0.508,0.870
65,2.202E-5,163.124,121,186,0.547,0.353,0.020,0.544,0.351,0.006,0.006,0.006,0.005,49.105,0.699,0.006,0.004,165,-0.459,-1.002,100,135556.000,0.545,0.355,42.955,0.005,1.263,0.792,0.914
66,1.407E-4,119.277,44,186,0.422,0.369,0.061,0.415,0.360,0.014,0.019,0.017,0.011,71.311,0.474,0.019,0.017,121,-0.024,-1.289,100,633241.000,0.420,0.360,95.326,0.012,1.617,0.619,0.827
67,4.126E-5,160.186,114,186,0.211,0.376,0.034,0.207,0.370,0.007,0.013,0.011,0.005,81.356,0.436,0.013,0.007,161,-0.288,-1.001,100,249410.000,0.211,0.383,86.379,0.006,2.186,0.457,0.735
68,8.975E-5,130.487,56,186,0.267,0.388,0.050,0.261,0.382,0.013,0.013,0.013,0.009,59.059,0.453,0.018,0.012,136,-0.204,-1.330,100,441960.000,0.261,0.394,43.891,0.009,1.573,0.636,0.794
69,3.949E-4,105.429,19,186,0.148,0.397,0.097,0.134,0.383,0.027,0.026,0.026,0.019,44.196,0.530,0.029,0.042,101,0.050,-1.331,100,1571110.000,0.134,0.404,25.151,0.020,1.395,0.717,0.898
70,1.198E-4,147.464,97,186,0.026,0.395,0.058,0.019,0.386,0.014,0.017,0.013,0.012,85.337,0.451,0.017,0.018,152,-0.215,-1.318,100,666684.000,0.024,0.386,103.643,0.012,1.124,0.890,0.804
