 ,Area,Mean,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1.071E-4,102.327,50,177,0.317,0.036,0.042,0.311,0.029,0.011,0.014,0.013,0.010,72.842,0.772,0.014,0.011,94,0.481,-1.120,100,413503.000,0.316,0.042,82.539,0.010,1.322,0.757,0.953
2,0.002,95.352,27,177,0.426,0.095,0.373,0.387,0.060,0.090,0.079,0.089,0.033,48.752,0.210,0.114,0.221,89,0.330,-1.149,100,8351179.000,0.389,0.136,39.312,0.046,2.651,0.377,0.647
3,3.527E-5,142.234,106,177,0.104,0.070,0.028,0.100,0.066,0.008,0.007,0.008,0.006,10.968,0.582,0.008,0.005,140,0.200,-1.031,100,189313.000,0.100,0.072,17.354,0.007,1.254,0.798,0.845
4,1.402E-4,133.110,75,177,0.259,0.076,0.073,0.253,0.069,0.015,0.018,0.015,0.012,72.139,0.330,0.020,0.019,133,-0.195,-0.989,100,704286.000,0.256,0.087,53.036,0.014,1.254,0.798,0.759
5,1.930E-4,103.548,44,177,0.300,0.085,0.059,0.292,0.076,0.017,0.020,0.021,0.012,56.503,0.691,0.021,0.020,99,0.316,-1.236,100,754344.000,0.297,0.096,71.147,0.012,1.759,0.569,0.941
6,3.784E-5,149.502,110,177,0.549,0.082,0.026,0.545,0.078,0.008,0.007,0.009,0.005,33.127,0.689,0.009,0.006,148,-0.118,-1.143,100,213489.000,0.545,0.084,27.013,0.006,1.756,0.569,0.917
7,2.782E-5,147.789,110,177,0.316,0.091,0.023,0.312,0.088,0.007,0.006,0.008,0.005,142.395,0.690,0.008,0.004,148,-0.145,-1.196,100,155178.000,0.312,0.089,146.634,0.005,1.613,0.620,0.904
8,3.569E-5,161.195,127,177,0.555,0.137,0.036,0.550,0.134,0.012,0.006,0.013,0.004,161.095,0.346,0.013,0.006,165,-0.699,-0.591,100,217130.000,0.550,0.135,161.792,0.004,3.630,0.276,0.788
9,1.759E-4,100.958,44,177,0.154,0.176,0.059,0.145,0.169,0.017,0.015,0.017,0.013,9.915,0.628,0.017,0.018,94,0.519,-0.971,100,670257.000,0.145,0.176,3.743,0.014,1.266,0.790,0.903
10,1.149E-4,117.792,58,177,0.024,0.184,0.056,0.016,0.176,0.014,0.016,0.016,0.009,57.098,0.464,0.017,0.014,115,0.159,-1.277,100,510630.000,0.021,0.192,67.297,0.011,1.843,0.543,0.830
11,5.936E-5,161.064,137,177,0.600,0.209,0.042,0.593,0.206,0.014,0.007,0.014,0.005,10.514,0.420,0.014,0.010,162,-0.080,-1.156,100,360783.000,0.594,0.212,22.770,0.006,2.782,0.359,0.844
12,1.205E-4,131.643,75,177,0.474,0.218,0.055,0.468,0.209,0.011,0.019,0.019,0.008,74.231,0.501,0.020,0.016,133,-0.085,-1.173,100,598842.000,0.470,0.228,68.459,0.010,2.352,0.425,0.836
13,1.435E-4,132.107,63,177,0.540,0.222,0.063,0.532,0.214,0.017,0.015,0.016,0.011,138.688,0.456,0.020,0.019,136,-0.413,-0.874,100,715229.000,0.533,0.217,147.236,0.014,1.398,0.715,0.779
14,1.648E-4,127.742,75,177,0.415,0.252,0.072,0.401,0.243,0.027,0.015,0.028,0.008,29.861,0.395,0.029,0.021,124,0.324,-0.968,100,794557.000,0.401,0.257,19.676,0.009,3.619,0.276,0.799
15,2.628E-4,114.460,52,177,0.392,0.296,0.083,0.385,0.285,0.018,0.026,0.026,0.013,65.706,0.474,0.028,0.030,110,0.145,-1.353,100,1135217.000,0.386,0.311,62.700,0.014,1.983,0.504,0.867
16,2.046E-4,123.387,52,177,0.234,0.315,0.104,0.223,0.306,0.026,0.017,0.020,0.013,167.450,0.239,0.027,0.025,127,-0.206,-1.140,100,952792.000,0.227,0.307,145.238,0.017,1.602,0.624,0.654
17,6.871E-5,135.683,80,177,0.551,0.326,0.037,0.544,0.320,0.012,0.010,0.012,0.007,30.246,0.620,0.014,0.009,137,-0.219,-1.127,100,351827.000,0.545,0.328,32.367,0.007,1.778,0.562,0.931
18,3.311E-4,139.945,62,177,0.478,0.346,0.158,0.458,0.332,0.040,0.023,0.026,0.016,3.825,0.166,0.040,0.046,147,-0.696,-0.403,100,1748330.000,0.458,0.349,179.301,0.023,1.596,0.627,0.589
19,1.683E-4,126.338,62,177,0.564,0.345,0.060,0.558,0.335,0.013,0.020,0.019,0.011,96.519,0.591,0.020,0.021,127,-0.159,-0.961,100,802248.000,0.562,0.335,95.711,0.012,1.656,0.604,0.917
20,2.623E-5,164.791,140,177,0.574,0.354,0.023,0.571,0.351,0.007,0.006,0.008,0.004,25.949,0.624,0.008,0.004,166,-0.617,-0.065,100,163143.000,0.571,0.355,16.928,0.005,1.904,0.525,0.856
21,0.001,143.653,52,177,0.156,0.388,0.323,0.134,0.352,0.044,0.069,0.062,0.024,120.934,0.138,0.073,0.165,152,-0.963,0.210,100,6222323.000,0.148,0.352,109.042,0.030,2.609,0.383,0.691
22,1.030E-4,152.169,106,177,0.507,0.367,0.061,0.498,0.359,0.017,0.015,0.021,0.006,147.089,0.350,0.020,0.016,154,-0.618,-0.453,100,591328.000,0.499,0.361,142.289,0.008,3.217,0.311,0.746
23,9.306E-5,156.246,110,177,0.450,0.374,0.047,0.444,0.367,0.013,0.013,0.011,0.010,126.567,0.524,0.013,0.015,159,-0.556,-0.562,100,548737.000,0.448,0.367,104.708,0.010,1.104,0.906,0.842
24,5.533E-5,148.516,106,177,0.594,0.387,0.037,0.588,0.383,0.013,0.007,0.012,0.006,5.211,0.500,0.013,0.008,148,-0.149,-1.091,100,310102.000,0.588,0.387,173.333,0.006,1.999,0.500,0.906
25,7.330E-5,134.334,85,177,0.407,0.402,0.040,0.399,0.399,0.015,0.007,0.015,0.006,177.069,0.587,0.015,0.010,133,0.061,-1.217,100,371567.000,0.400,0.401,166.409,0.007,2.354,0.425,0.919
