 ,Area,Mean,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,2.774E-4,130.279,48,184,0.217,0.027,0.096,0.207,0.017,0.022,0.021,0.019,0.019,72.383,0.379,0.023,0.036,131,-0.241,-0.873,100,1363892.000,0.209,0.036,56.310,0.020,1.026,0.975,0.808
2,1.018E-4,142.609,87,184,0.469,0.025,0.049,0.463,0.017,0.012,0.014,0.014,0.010,99.338,0.527,0.014,0.015,147,-0.355,-1.094,100,548045.000,0.466,0.032,84.806,0.011,1.420,0.704,0.852
3,4.314E-5,167.470,138,184,0.658,0.038,0.034,0.654,0.034,0.008,0.008,0.009,0.006,41.665,0.474,0.009,0.007,170,-0.381,-1.113,100,272641.000,0.654,0.041,34.509,0.007,1.503,0.665,0.888
4,7.573E-5,131.306,63,184,0.532,0.041,0.039,0.526,0.037,0.013,0.008,0.013,0.007,160.660,0.629,0.014,0.010,134,-0.202,-1.201,100,375273.000,0.526,0.038,152.835,0.008,1.832,0.546,0.919
5,1.995E-5,181.436,172,184,0.657,0.049,0.035,0.655,0.045,0.004,0.009,0.007,0.003,87.990,0.206,0.009,0.004,182,-0.681,-0.777,100,136621.000,0.657,0.053,85.684,0.004,2.107,0.475,0.701
6,2.311E-5,173.733,153,184,0.660,0.076,0.023,0.657,0.074,0.007,0.005,0.006,0.005,2.857,0.532,0.007,0.004,176,-0.277,-0.929,100,151495.000,0.657,0.077,20.556,0.005,1.330,0.752,0.873
7,3.844E-4,93.426,16,184,0.035,0.097,0.107,0.024,0.083,0.023,0.029,0.031,0.016,56.916,0.419,0.032,0.036,84,0.387,-1.175,100,1355326.000,0.026,0.110,54.123,0.017,1.956,0.511,0.889
8,2.009E-4,143.090,63,184,0.276,0.100,0.122,0.262,0.086,0.028,0.026,0.031,0.008,130.883,0.170,0.034,0.029,149,-0.590,-0.614,100,1085050.000,0.262,0.090,142.101,0.012,3.716,0.269,0.618
9,1.723E-4,159.984,123,184,0.651,0.098,0.094,0.638,0.089,0.028,0.024,0.033,0.007,37.145,0.248,0.034,0.028,159,-0.177,-1.211,100,1040054.000,0.638,0.112,39.806,0.009,5.007,0.200,0.726
10,2.814E-5,152.934,115,184,0.177,0.092,0.026,0.172,0.089,0.009,0.006,0.008,0.005,8.299,0.520,0.009,0.004,153,-0.088,-1.188,100,162416.000,0.172,0.095,13.299,0.006,1.720,0.581,0.775
